iter	Passed	Remaining
351	13544	5694
352	13577	5653
353	13610	5613
354	13653	5576
355	13694	5539
356	13728	5499
357	13783	5467
358	13817	5427
359	13852	5387
360	13885	5346
361	13920	5306
362	13962	5269
363	14000	5231
364	14039	5192
365	14079	5154
366	14112	5114
367	14143	5073
368	14169	5030
369	14198	4988
370	14226	4946
371	14259	4906
372	14310	4872
373	14345	4832
374	14380	4793
375	14420	4755
376	14457	4716
377	14493	4677
378	14543	4643
379	14584	4605
380	14634	4570
381	14673	4532
382	14710	4493
383	14758	4458
384	14797	4419
385	14816	4375
386	14857	4338
387	14915	4305
388	14951	4266
389	14982	4225
390	15015	4185
391	15060	4149
392	15092	4109
393	15126	4069
394	15151	4027
395	15180	3986
396	15208	3945
397	15248	3907
398	15297	3872
399	15330	3832
400	15369	3794
401	15409	3756
